panel,variable_name,unit,bin_label,n_sites,median,ci95_low,ci95_high
a,Ts-Ta,degC,P0-10,240,0.1356500000000005,-0.0643029999999999,0.3023409874999971
a,Ts-Ta,degC,P10-30,240,1.2069327499999996,0.9640544999999996,1.3567834999999988
a,Ts-Ta,degC,P30-50,240,2.2347427499999992,1.954007,2.500094299999997
a,Ts-Ta,degC,P50-70,240,3.540849000000001,3.0838415,3.833016250000001
a,Ts-Ta,degC,P70-90,240,5.179776999999999,4.823468000000001,5.800808
a,Ts-Ta,degC,P90-100,240,8.54914925,7.57918475,9.27359
b,H,W m-2,P0-10,240,60.518975,53.37795,67.13055
b,H,W m-2,P10-30,240,93.576525,83.3508,103.63275
b,H,W m-2,P30-50,240,145.4035,134.94931875,161.579
b,H,W m-2,P50-70,240,206.36,191.9755,216.2535
b,H,W m-2,P70-90,240,268.2355,253.48825,288.01025000000004
b,H,W m-2,P90-100,240,357.43425,337.2705,372.8657500000001
c,EF,dimensionless,P0-10,240,0.6055053385635474,0.5763717668675998,0.6418844684317275
c,EF,dimensionless,P10-30,240,0.5556156169285384,0.5240072683200445,0.591942106082375
c,EF,dimensionless,P30-50,240,0.4937273129988548,0.4739260242053768,0.5116545416029892
c,EF,dimensionless,P50-70,240,0.4303572500732726,0.412581311874677,0.449427513644472
c,EF,dimensionless,P70-90,240,0.3725182070249374,0.3427135531560907,0.3896134350704403
c,EF,dimensionless,P90-100,240,0.2940579130314485,0.2698040263157095,0.32121730526965
d,VPD,kPa,P0-10,240,0.502,0.4722749999999999,0.5797
d,VPD,kPa,P10-30,240,0.552475,0.5,0.602875
d,VPD,kPa,P30-50,240,0.6914500000000001,0.6360250000000001,0.7474500000000001
d,VPD,kPa,P50-70,240,0.84185,0.7788999999999999,0.9481749999999982
d,VPD,kPa,P70-90,240,0.992775,0.9493,1.1014
d,VPD,kPa,P90-100,240,1.1772749999999998,1.0914899999999998,1.2793
e,SM,m3 m-3,P0-10,240,0.2529075,0.2207,0.2690316249999998
e,SM,m3 m-3,P10-30,240,0.2356499999999999,0.214215,0.26337
e,SM,m3 m-3,P30-50,240,0.2258624999999999,0.20209,0.24848
e,SM,m3 m-3,P50-70,240,0.2107999999999999,0.186388375,0.2284074999999999
e,SM,m3 m-3,P70-90,240,0.194975,0.177225,0.2194258749999999
e,SM,m3 m-3,P90-100,240,0.18923,0.168405,0.2115
f,Ta,degC,P0-10,240,14.554,13.256,15.4765
f,Ta,degC,P10-30,240,14.41525,13.62,15.37
f,Ta,degC,P30-50,240,15.644,14.8895,16.5
f,Ta,degC,P50-70,240,17.345,16.5875,18.0275
f,Ta,degC,P70-90,240,18.21,17.659,18.893
f,Ta,degC,P90-100,240,18.71,17.635,19.8615
