Year,global_GPP_change,dryland_GPP_change,humid_GPP_change
2001,25.7296,50.1493,10.0747
2002,-15.4445,-41.1461,1.0321
2003,-10.285,-9.0032,-11.1068
2004,9.2258,29.9243,-4.0435
2005,-21.2858,-34.5978,-12.7517
2006,13.2905,26.7674,4.6509
2007,-2.1098,7.7831,-8.4519
2008,-2.388,0.0628,-3.9591
2009,-7.9939,-18.553,-1.2247
2010,36.3766,99.1061,-3.8378
2011,23.2231,58.2403,0.7745
2012,-24.9356,-46.0983,-11.3688
2013,-0.4017,-21.0525,12.837
2014,7.6952,14.0065,3.6491
2015,-19.1381,-29.0996,-12.752
2016,2.5404,13.0044,-4.1679
2017,3.4971,2.9752,3.8317
2018,-9.574,-24.0882,-0.2693
2019,-37.909,-60.7332,-23.2769
2020,-14.8112,6.9286,-28.7481
2021,-30.1577,-29.3124,-30.6996
2022,-24.2604,-17.0976,-28.8522
2023,-57.0591,-76.376,-44.6755
