Year,australia_GPP_change,europe_GPP_change
2001,131.06507783134614,52.01508191193958
2002,-149.95193219386323,82.46244435675135
2003,18.88685435358249,-134.47752632735015
2004,32.02231645263912,15.036481334091995
2005,-48.62243655726407,-8.616764964786585
2006,18.45175449957881,-0.2338098007963444
2007,66.45088225719974,27.756943281324386
2008,51.92093988630038,45.182924928287306
2009,8.292315814188756,-10.155284831129762
2010,360.9222639273084,30.737317952251825
2011,339.45566810507404,-80.25578383705347
2012,93.79406916945145,-16.223964020533007
2013,-10.471782016034853,22.571258046483912
2014,22.269487644982217,53.02145641847123
2015,6.586567701044775,-27.56644743876891
2016,141.35788641293848,7.233041375642387
2017,29.173746111765443,1.953663109913338
2018,-59.887418727263885,-56.44775937940321
2019,-226.65689751418336,-28.340809146400957
2020,65.32765695120932,-35.999875882374624
2021,134.8833165243298,0.2520028580151537
2022,223.6459484064796,-65.61063488581956
2023,28.55083101844514,25.41468085279521
